id,mocap_raw_freq,imu_raw_freq,mp_raw_freq,apple_raw_freq,mocap_pca_freq,imu_pca_freq,mp_pca_freq,apple_pca_freq,mocap_emd_freq,imu_emd_freq,mp_emd_freq,apple_emd_freq,mocap_raw_amp,imu_raw_amp,mp_raw_amp,apple_raw_amp,mocap_pca_amp,imu_pca_amp,mp_pca_amp,apple_pca_amp,mocap_emd_amp,imu_emd_amp,mp_emd_amp,apple_emd_amp
001,6.0,6.0,5.6000000000000005,6.9,6.0,6.0,6.2,4.7,6.0,6.0,5.6000000000000005,7.0,0.038287964405755805,16.115755813010338,6.831316471325122e-08,0.003337011088402876,0.04498816149561532,27.723042110753443,3.357156881342185e-07,0.0005555242675758362,1.4764422459195716,2841.5023431283985,4.3902440388379794e-07,0.015023183676493194
002,5.6000000000000005,5.6000000000000005,5.6000000000000005,5.5,5.6000000000000005,5.6000000000000005,5.6000000000000005,5.6000000000000005,5.6000000000000005,5.6000000000000005,5.6000000000000005,5.6000000000000005,0.06425716255786564,16.66117809918882,3.9478651021900676e-08,0.18296835760644586,0.03440622241887578,4.147952951879575,2.7644373176426804e-08,0.11060217640979021,1.2607725179965183,2055.6793354767824,8.742312548829638e-07,0.31380222938292823
003,5.9,7.2,6.2,6.1000000000000005,6.1000000000000005,7.2,5.9,3.2,6.1000000000000005,7.2,4.7,5.300000000000001,0.08187105338410039,0.0004057105105592839,3.14164902248651e-08,0.13967683017859928,0.08657148427385679,0.00027463242341011456,3.180383280027052e-08,1.294115051786402e-05,0.11778983829093982,0.04877005331017676,7.426273165284653e-08,0.16180462571781748
004,5.0,5.4,4.9,5.1000000000000005,5.0,5.5,5.6000000000000005,5.0,5.0,5.5,4.9,4.9,0.23708569709896882,0.0006639446599319292,1.1049934271439807e-07,0.22221822571033792,0.2732922136106652,0.0005114987171902497,4.3491000815477997e-07,0.45646780121128994,165.7182120807232,2.276401689096122,5.2543188700868335e-05,46.86291219795482
005,4.7,4.7,4.7,4.7,4.7,4.9,4.6000000000000005,4.9,4.6000000000000005,4.6000000000000005,4.7,4.6000000000000005,0.007046171052361727,1.2062742456462205,6.678385188154891e-09,0.017861287229521117,0.017291996029294578,7.4802814287389285,1.8507943195581062e-10,0.04051467005474879,202.80663891702983,674746.4098486216,2.0475534495437774e-05,46.18779123943001
006,4.6000000000000005,4.6000000000000005,4.6000000000000005,4.9,4.7,4.7,4.7,5.0,4.7,4.7,4.7,4.6000000000000005,0.008227671362441019,0.1979987533008536,1.418781596596075e-09,0.0058732021575994345,0.018874133621768045,0.8627452951916768,1.5217651376719563e-08,0.00506446433749208,80.7454755174514,141184.8724093059,3.2997902677858835e-05,0.10664883277926034
007,3.7,3.7,3.6,3.6,3.6,4.2,4.2,4.2,3.7,3.7,3.7,3.7,8.565916789614918e-07,0.00017277080927182044,2.527176279342249e-13,3.247131440709612e-07,2.7432089588854355e-07,0.0005607754915279164,3.3160263081725743e-11,3.20944469199345e-05,132.40318699485027,215540.90792713952,0.00011489852477967125,139.89196758478226
008,7.6000000000000005,7.4,6.6000000000000005,3.3000000000000003,7.6000000000000005,7.4,5.6000000000000005,4.7,7.6000000000000005,7.4,6.2,7.0,0.0010489828519602274,0.0003400601479786345,1.091614238838431e-08,1.1853012400766621e-07,0.0022579208772933253,0.00019802626488877575,6.868867575943196e-09,0.0010995634660875375,0.0282470059766542,0.003800545384243524,1.8227984925443364e-08,0.03891789257656711
009,5.2,5.5,5.4,3.2,5.2,5.4,5.300000000000001,3.2,5.300000000000001,5.4,5.300000000000001,5.0,0.02065844901832512,0.0005373431467411273,1.9043483429076665e-08,7.569827027865189e-06,0.02506742418691247,0.00022641279518861862,5.374327286252774e-08,7.923190822727296e-06,0.6766557552661917,0.08416838223395717,1.0021966762670123e-07,0.061978230725384074
010,5.0,5.6000000000000005,4.9,3.1,5.1000000000000005,5.7,4.9,5.5,5.1000000000000005,5.800000000000001,4.9,4.9,0.004599513504584041,0.0001951590578694027,8.36108280307891e-09,1.4702164817708129e-05,0.006525944849552952,0.00017517588623179107,8.921910010021857e-09,0.011759151901830207,1.5284063463430737,0.020591178680667822,4.621814200873256e-08,0.014429203062085137
011,4.0,4.0,4.0,5.2,4.0,4.0,3.7,4.7,4.0,4.0,4.0,4.6000000000000005,1.0613958994538487e-06,0.00011453770508834186,7.681186298948984e-14,0.018146499892077953,1.1759984071326762e-06,0.00021293399460656267,3.593066704436855e-13,0.000676996422507462,273.4995895333588,437308.54026600445,0.00015260095206306163,0.11030495894888079
012,6.2,6.2,6.2,6.2,6.1000000000000005,6.1000000000000005,6.1000000000000005,6.5,6.1000000000000005,6.1000000000000005,6.1000000000000005,6.1000000000000005,0.08035732918988121,14.061543226373821,1.7336171132111678e-08,0.06825293204695887,0.05276267509230389,6.890880397414762,4.0890418486578995e-08,0.25634442335742263,2.513234586267175,6813.540053706589,6.951830513115103e-07,0.16579284634255717
013,5.1000000000000005,5.2,5.2,5.2,5.1000000000000005,5.1000000000000005,5.9,5.1000000000000005,5.1000000000000005,5.1000000000000005,5.1000000000000005,5.1000000000000005,0.18125613899377258,16.228525558908213,3.6556817005837724e-08,0.12821264775079239,0.19866587060011023,7.231910961002177,8.743858759528815e-08,0.09947266656954361,78.69726416387778,137056.38467822975,1.3427423513801483e-05,15.295328200555232
014,5.0,5.2,5.6000000000000005,5.1000000000000005,5.0,5.2,5.300000000000001,4.9,5.0,5.2,5.6000000000000005,5.7,0.002545072703020443,2.075082083585538e-05,8.957146216241449e-08,0.01080496901034866,0.006432808589406023,4.884139243858426e-05,1.993955517610298e-08,0.014952407066425814,0.05435100742613689,0.005540300269591643,1.0639107629070383e-07,0.030970695232977727
015,4.800000000000001,4.800000000000001,4.800000000000001,4.800000000000001,4.9,4.9,4.800000000000001,4.800000000000001,4.800000000000001,4.800000000000001,4.800000000000001,4.800000000000001,0.6738421917980916,1.1117412027169273,2.2794063748252483e-08,0.061146664389883504,1.102597552626969,2.7065600582744436,6.341049516371762e-08,0.1179177264563052,128.95389055077825,45913.13346844957,5.2105380116630145e-05,47.73289921958958
016,4.3,4.3,4.800000000000001,6.2,4.3,4.4,3.1,4.9,4.3,4.3,4.800000000000001,4.9,1.8043498136457809e-06,3.7799585084241915e-05,2.0853827591904262e-10,0.01631983099329801,3.0479527472250233e-06,8.345853581018645e-05,6.001984177658632e-12,0.007346691980835516,7.750208716773875,11283.529314663827,2.346910383828308e-09,0.02802998739697152
017,5.0,5.0,5.2,5.0,4.9,4.9,6.0,4.9,4.9,4.9,3.4000000000000004,4.9,0.0015105819596866199,0.14294880056540582,4.601299570773953e-08,0.00794369521886371,0.002793450305136677,0.09060281651996686,1.670452241608177e-08,0.005299887835904877,0.7506771288580492,1549.4752052261924,2.4522247313015618e-08,0.8191120697718721
018,4.0,4.0,3.2,4.6000000000000005,4.1000000000000005,7.300000000000001,3.2,4.6000000000000005,4.0,4.1000000000000005,3.3000000000000003,4.2,7.81453450687238e-06,0.0006481375917072302,1.0159626917227947e-10,0.0008749914165448369,2.393171858149565e-05,128723.69564852653,5.39401634715927e-11,0.0011378132440251997,878.1023074941554,1511297.0621611553,1.009961484498838e-05,2.0271191047978516
019,5.0,5.2,5.300000000000001,3.1,4.9,5.2,5.2,3.2,5.1000000000000005,5.2,5.2,3.9000000000000004,0.01237150316401018,4.212155559088281,7.599062068406219e-08,2.718789714033457e-05,0.009446538587393529,6.340056384445882,3.6455462507928355e-08,2.0480256392041723e-06,0.23674176178032075,916.1553953104649,1.0018365592420151e-07,0.02650878408125544
020,5.2,5.0,5.0,4.5,5.2,5.1000000000000005,5.1000000000000005,5.2,5.2,5.1000000000000005,5.1000000000000005,4.4,0.028537538969105596,0.270678215275326,1.2165460197489147e-08,2.4728900636618853e-05,0.05065864370789836,0.34742280627108263,3.394408749413161e-08,0.03910467441253633,0.24532957290412705,95.94753240572264,4.4234806300865557e-08,0.027699081454962655
